danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.617,0.5,10,-9.489,0,0.0354,0.00451,0.883,0.067,0.211,135.011,audio_features,3Q0g7YdBv0ILCz2cHhyi9G,spotify:track:3Q0g7YdBv0ILCz2cHhyi9G,https://api.spotify.com/v1/tracks/3Q0g7YdBv0ILCz2cHhyi9G,https://api.spotify.com/v1/audio-analysis/3Q0g7YdBv0ILCz2cHhyi9G,227189,4
0.696,0.5,4,-10.278,0,0.0297,0.243,0,0.259,0.21,110.986,audio_features,3tyyz3Bq9za1U9eylJU5KB,spotify:track:3tyyz3Bq9za1U9eylJU5KB,https://api.spotify.com/v1/tracks/3tyyz3Bq9za1U9eylJU5KB,https://api.spotify.com/v1/audio-analysis/3tyyz3Bq9za1U9eylJU5KB,123243,4
0.823,0.5,11,-11.158,0,0.257,0.00682,0,0.206,0.132,137.878,audio_features,0soDUwoKXIgWfEaq4LNoL7,spotify:track:0soDUwoKXIgWfEaq4LNoL7,https://api.spotify.com/v1/tracks/0soDUwoKXIgWfEaq4LNoL7,https://api.spotify.com/v1/audio-analysis/0soDUwoKXIgWfEaq4LNoL7,266210,4
0.664,0.5,9,-21.213,0,0.0453,0.711,0.916,0.168,0.203,119.997,audio_features,34IOEGoOIePk1fOJREG8pQ,spotify:track:34IOEGoOIePk1fOJREG8pQ,https://api.spotify.com/v1/tracks/34IOEGoOIePk1fOJREG8pQ,https://api.spotify.com/v1/audio-analysis/34IOEGoOIePk1fOJREG8pQ,320643,4
0.691,0.5,11,-12.04,0,0.0328,0.229,0.015,0.0932,0.431,118.952,audio_features,50te0RcsyjS2qyUgym4stx,spotify:track:50te0RcsyjS2qyUgym4stx,https://api.spotify.com/v1/tracks/50te0RcsyjS2qyUgym4stx,https://api.spotify.com/v1/audio-analysis/50te0RcsyjS2qyUgym4stx,252101,4
0.612,0.5,2,-14.001,1,0.0364,0.355,9.78E-05,0.164,0.847,187.278,audio_features,3EOcx2UzKvO0VvOuJdScVY,spotify:track:3EOcx2UzKvO0VvOuJdScVY,https://api.spotify.com/v1/tracks/3EOcx2UzKvO0VvOuJdScVY,https://api.spotify.com/v1/audio-analysis/3EOcx2UzKvO0VvOuJdScVY,157173,4
0.679,0.5,0,-8.658,1,0.256,0.333,0,0.273,0.737,167.365,audio_features,1pHnxkfCVzv4cG5DwjbC7z,spotify:track:1pHnxkfCVzv4cG5DwjbC7z,https://api.spotify.com/v1/tracks/1pHnxkfCVzv4cG5DwjbC7z,https://api.spotify.com/v1/audio-analysis/1pHnxkfCVzv4cG5DwjbC7z,241970,4
0.672,0.5,7,-10.396,1,0.0527,0.603,4.16E-05,0.0988,0.847,116.556,audio_features,5LrtGS7YY8aTH4TSmCwZZo,spotify:track:5LrtGS7YY8aTH4TSmCwZZo,https://api.spotify.com/v1/tracks/5LrtGS7YY8aTH4TSmCwZZo,https://api.spotify.com/v1/audio-analysis/5LrtGS7YY8aTH4TSmCwZZo,224888,4
0.428,0.5,0,-18.165,1,0.0289,0.842,0.823,0.108,0.352,160.01,audio_features,0uEEILB9EsjaDaQiLRmI9i,spotify:track:0uEEILB9EsjaDaQiLRmI9i,https://api.spotify.com/v1/tracks/0uEEILB9EsjaDaQiLRmI9i,https://api.spotify.com/v1/audio-analysis/0uEEILB9EsjaDaQiLRmI9i,191413,3
0.418,0.5,6,-6.399,1,0.0317,0.387,0,0.156,0.229,128.486,audio_features,3eHoseCAp2PaW5LYg5EYay,spotify:track:3eHoseCAp2PaW5LYg5EYay,https://api.spotify.com/v1/tracks/3eHoseCAp2PaW5LYg5EYay,https://api.spotify.com/v1/audio-analysis/3eHoseCAp2PaW5LYg5EYay,205677,4
